timestamp,run_id,series,stage,joint_load_index,joint_speed_index,supply_voltage_v,current_a,power_w,temperature_c,spike_flag,J1_power_w,J2_power_w,J3_power_w,J4_power_w,energy_wh_step,cumulative_energy_wh,estimated_carbon_kg,unit_task_energy_wh
2026-05-01 09:00:00,1,本机-优化前,待机准备,0.26828800962599664,0.4147148992980017,11.69852484261124,1.9124675555882014,28.68339642273919,30.707943594548194,0,7.32969698905719,9.342076438744922,7.420444895343375,4.5911780995937015,0.007967610117427552,0.007967610117427552,4.175027701532038e-06,0.007967610117427552
2026-05-01 09:00:01,1,本机-优化前,待机准备,0.27161683231423045,0.4256553940390409,11.65974002997399,2.1444892314731625,32.05664991802024,30.69078803161941,0,8.373853072956589,10.418265576703481,8.032552539163044,5.231978729197128,0.008904624977227845,0.016872235094655397,8.841051189599428e-06,0.016872235094655397
2026-05-01 09:00:02,1,本机-优化前,待机准备,0.27403536155437147,0.4318021732853096,11.67047236384125,2.2372895656881577,33.47464877727441,30.716259149719672,0,8.976795977686095,10.855102134148133,8.133962924151023,5.5087877412891615,0.009298513549242892,0.02617074864389829,1.3713472289402705e-05,0.02617074864389829
2026-05-01 09:00:03,1,本机-优化前,待机准备,0.27552640562199604,0.4326459296224169,11.654250486466461,2.2165797889605843,33.11868728690463,30.726953697026925,0,9.142446580864444,10.721423158582857,7.826886014491444,5.427931532965887,0.009199635357473509,0.035370384001371796,1.8534081216718825e-05,0.035370384001371796
2026-05-01 09:00:04,1,本机-优化前,待机准备,0.276090184533273,0.42816535238352743,11.705066191626038,1.969984612652714,29.56256447126256,30.732462222481455,0,8.41127166784704,9.561338382769687,6.8256975504291715,4.76425687021666,0.0082118234642396,0.043582207465611394,2.283707671198037e-05,0.043582207465611394
2026-05-01 09:00:05,1,本机-优化前,待机准备,0.27574380934827086,0.4188336097575232,11.733408833987738,2.0697441682232642,31.134813471186476,30.722879857068698,0,9.128661002672038,10.067942036832418,7.06462292377056,4.87358750791146,0.0086485592975518,0.0522307667631632,2.7368921783897516e-05,0.0522307667631632
2026-05-01 09:00:06,1,本机-优化前,待机准备,0.27452041827517815,0.4055720445712148,11.575263004205917,2.293680247886547,34.038400149793596,30.731791557528872,0,10.266730523755507,11.009333456227877,7.643153733803785,5.11918243600643,0.009455111152720443,0.06168587791588364,3.2323400027923034e-05,0.06168587791588364
2026-05-01 09:00:07,1,本机-优化前,待机准备,0.27246799817671624,0.3896560971287802,11.63146485679033,1.938239221291104,28.90328382884632,30.72377886634469,0,8.939197369775115,9.34891992644922,6.4721361878843195,4.143030344737665,0.008028689952457311,0.06971456786834095,3.653043356301066e-05,0.06971456786834095
2026-05-01 09:00:08,1,本机-优化前,待机准备,0.2696479269243275,0.3725840541527013,11.69760913384153,1.9500388127248347,29.244604906507075,30.73182800785372,0,9.22959979830146,9.45071313095018,6.582169923932481,3.9821220533229518,0.008123501362918633,0.07783806923125958,4.0787148277180025e-05,0.07783806923125958
2026-05-01 09:00:09,1,本机-优化前,待机准备,0.26613327787953645,0.3559235093252402,11.679472217125136,2.0653896353980814,30.92648828739757,30.74628189059778,0,9.89672434088499,9.966712760395493,7.0486247892841565,4.014426396832935,0.00859069119094377,0.08642876042220335,4.5288670461234556e-05,0.08642876042220335
