series,stage,stage_energy_wh
同类机械臂A,待机准备,4.344737134705708
同类机械臂A,抓取接近,9.913248631414602
同类机械臂A,负载搬运,15.672232659529772
同类机械臂A,精准放置,8.96698581019837
同类机械臂A,回零复位,6.065634831224243
同类机械臂B,待机准备,5.002273072999301
同类机械臂B,抓取接近,11.424141316446482
同类机械臂B,负载搬运,18.110360333853585
同类机械臂B,精准放置,10.377313403319834
同类机械臂B,回零复位,6.973074059177923
本机-优化前,待机准备,4.727784027909982
本机-优化前,抓取接近,10.847328947494393
本机-优化前,负载搬运,17.180096850611847
本机-优化前,精准放置,9.830493069108986
本机-优化前,回零复位,6.6289030616977955
本机-优化后,待机准备,3.4518421400777948
本机-优化后,抓取接近,7.846926648086176
本机-优化后,负载搬运,12.407788230040047
本机-优化后,精准放置,7.107461441063412
本机-优化后,回零复位,4.782011676646588
